id2,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3
AU-77-78,,,,,,,,,,,,,,,,,,,,,,-15.46,7.4,4.6,3.45968e-06,0.000403039,-27.46,0.705348,,,,,,,,,,,,,,
UA-15-16,,,,,,,,,,,,,,,,,,,,,,-12.98,1.96,4.22,0.0357752,0.000768732,-19.16,94.7473,,,,,,,,,,,,,,
UA-18-19,,,,,,,,,,,,,,,,,,,,,,-15.13,1.0,0.02,0.182823,0.966586,-16.15,0.697122,,,,,,,,,,,,,,
UA-25-26,,,,,,,,,,,,,,,,,,,,,,-21.61,2.79,7.52,0.0087311,2.8215e-06,-31.92,0.869528,,,,,,,,,,,,,,
UA-27-28,,,,,,,,,,,,,,,,,,,,,,-22.2,2.71,8.65,0.0100025,4.13596e-07,-33.56,0.932394,,,,,,,,,,,,,,
UA-36-37,,,,,,,,,,,,,,,,,,,,,,-17.93,9.47,7.66,1.0267e-07,2.22415e-06,-35.06,0.540962,,,,,,,,,,,,,,
UA-54-55,,,,,,,,,,,,,,,,,,,,,,-7.88,8.05,1.25,1.14646e-06,0.119547,-17.18,1025.54,,,,,,,,,,,,,,
UA-69-70,,,,,,,,,,,,,,,,,,,,,,-18.11,9.13,2.44,1.82958e-07,0.0158255,-29.68,0.758127,,,,,,,,,,,,,,
UA-78-79,,,,,,,,,,,,,,,,,,,,,,-17.33,8.06,2.37,1.12714e-06,0.0178244,-27.76,0.899642,,,,,,,,,,,,,,
UA-81-82,,,,,,,,,,,,,,,,,,,,,,-17.63,7.63,4.15,2.34047e-06,0.00086583,-29.41,186.417,,,,,,,,,,,,,,
UA-96-97,,,,,,,,,,,,,,,,,,,,,,-12.21,5.56,6.98,7.88674e-05,7.0629e-06,-24.75,0.765787,,,,,,,,,,,,,,
AU-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.03,3.55,1.26,0.00240001,0.117533,-26.84,0.896216,,,,,,,
AU-17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.92,3.63,4.88,0.00209496,0.000250447,-39.43,0.861802,,,,,,,
AU-19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.24,3.3,4.1,0.00367033,0.000942608,-38.64,0.973068,,,,,,,
AU-26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.95,3.14,8.86,0.00481704,2.8947e-07,-42.95,15.7798,,,,,,,
AU-28-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.79,3.04,9.58,0.00570923,8.5166e-08,-44.41,1.4845,,,,,,,
AU-46-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.28,17.31,6.99,1.6818e-13,6.9439e-06,-51.58,0.904927,,,,,,,
AU-52-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.62,19.36,4.2,5.16344e-15,0.000795306,-51.18,0.763097,,,,,,,
AU-55-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.23,20.58,5.51,6.49558e-16,8.5861e-05,-50.32,0.639635,,,,,,,
AU-60-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.27,18.0,6.38,5.20685e-14,1.95778e-05,-45.65,8518.7,,,,,,,
AU-68-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.42,13.64,6.03,8.59243e-11,3.54856e-05,-45.09,18315900.0,,,,,,,
AU-70-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.36,14.48,5.95,2.06169e-11,4.06528e-05,-46.79,391.763,,,,,,,
AU-77-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.04,11.13,4.6,6.11527e-09,0.000403039,-45.77,0.776714,,,,,,,
UA-15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.86,3.57,4.22,0.00231982,0.000768732,-27.65,0.793219,,,,,,,
UA-18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.44,3.58,4.59,0.00228073,0.000409946,-35.61,0.666983,,,,,,,
UA-25-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.79,3.17,7.52,0.00457764,2.8215e-06,-40.48,0.702356,,,,,,,
UA-27-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.4,3.07,8.65,0.00542548,4.13596e-07,-42.12,12.0006,,,,,,,
UA-36-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.81,9.51,7.66,9.59233e-08,2.22415e-06,-50.98,0.604883,,,,,,,
UA-51-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.25,18.79,3.76,1.36013e-14,0.00167973,-45.8,0.684071,,,,,,,
UA-54-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.75,19.4,3.58,4.82414e-15,0.00228073,-45.73,0.427777,,,,,,,
UA-69-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.47,13.52,2.44,1.05359e-10,0.0158255,-44.43,11801.3,,,,,,,
UA-78-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.81,10.43,2.37,2.00906e-08,0.0178244,-43.61,0.979394,,,,,,,
UA-81-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.07,9.82,4.15,5.6644e-08,0.00086583,-46.04,0.983779,,,,,,,
UA-96-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.81,7.47,6.98,3.0717e-06,7.0629e-06,-38.26,2.20309,,,,,,,
AU-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.91,1.26,1.26,0.117533,0.117533,-16.43,0.935978
AU-17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.84,0.8,0.8,0.256818,0.256818,-12.44,0.52558
AU-19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.31,3.93,3.93,0.0012583,0.0012583,-16.17,0.447886
AU-28-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.87,1.73,1.73,0.0528829,0.0528829,-7.33,0.957167
AU-46-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.55,6.98,6.98,7.0629e-06,7.0629e-06,-20.51,0.48833
AU-52-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.03,2.6,2.6,0.0120582,0.0120582,-16.23,0.446065
AU-55-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,5.49,5.49,8.88291e-05,8.88291e-05,-22.58,1.93486
AU-60-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.55,1.31,1.31,0.10796,0.10796,-16.17,0.885167
AU-68-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.35,4.81,4.81,0.000282081,0.000282081,-17.97,0.520733
AU-70-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.89,1.62,1.62,0.0637517,0.0637517,-16.13,0.528204
AU-77-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.21,4.3,4.3,0.000671023,0.000671023,-26.81,0.983302
UA-15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,4.21,4.21,0.000781906,0.000781906,-17.97,0.593372
UA-18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,3.34,1.63,0.00342915,0.0626776,-5.22,0.224042
UA-51-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.11,3.1,3.1,0.00515584,0.00515584,-16.31,0.664779
UA-54-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.41,3.06,3.06,0.00551846,0.00551846,-17.53,0.773407
UA-69-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.99,2.03,2.03,0.0317632,0.0317632,-16.05,0.663125
UA-78-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.01,2.37,2.37,0.0178244,0.0178244,-17.75,1.24098
UA-81-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.73,3.38,3.38,0.00320382,0.00320382,-15.49,0.719616
UA-96-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.34,6.93,6.93,7.68921e-06,7.68921e-06,-30.2,42202700.0
