E_1,Pu1_1,E_hybrid_1,seedNumber_1,seedEbest_1,seedNumber_3,E_diff_12,pumin1_4u,pumin1_4d,pumin5_8d
-15.51,0.000469639,-29.01,6,-3.82,4.0,-9.76,0.1717028,0.02231447,0.7694734
-20.24,7.24435e-05,-33.74,11,-5.68,0.0,-10.110000000000003,0.06961165,0.1043367,0.08906671
-19.97,1.56974e-05,-34.22,8,-6.46,0.0,-9.34,0.08185012,0.08906671,0.1243308
-22.2,1.89236e-05,-35.76,8,-4.6,0.0,-8.91,0.1043367,0.1107493,0.2676053
-17.78,2.75016e-05,-30.82,10,-2.03,4.0,-6.279999999999998,0.6458936,0.05393913,0.04690786
-15.06,4.50272e-07,-28.84,9,-4.58,4.0,-7.360000000000001,0.8992728,0.04690786,0.01310356
-9.17,0.113606,-12.39,5,-2.34,4.0,-9.799999999999999,0.2345881,0.4043132,0.3513244
-16.45,0.0190781,-23.85,6,-2.74,2.0,-4.16,0.3513244,0.2285956,0.2548537
-16.66,0.00136988,-24.11,7,-5.32,4.0,-7.34,0.3513244,0.2285956,0.05286382
-13.98,0.000469639,-27.55,9,-5.38,4.0,-11.899999999999999,0.2285956,0.05286382,0.6537786
-15.62,3.54856e-05,-30.1,7,-2.34,4.0,-8.03,0.5995871,0.1253637,0.1023797
-18.83,5.20174e-06,-31.9,8,-4.21,4.0,-8.810000000000002,0.1253637,0.01915905,0.07003431
-18.06,4.6987e-08,-35.15,6,-2.08,2.0,-3.8100000000000023,0.01915905,0.05409078,0.002686658
-8.51,1.92479e-05,-21.12,5,-4.31,1.0,-4.550000000000001,0.1778598,0.2826416,
-5.34,4.13495e-05,-11.34,3,-1.01,4.0,-13.29,0.07880255,,
-24.63,0.000880668,-31.62,12,-7.23,4.0,-4.240000000000002,0.7110354,0.3859463,0.3091715
-16.88,0.011076,-23.2,7,-4.73,4.0,-3.370000000000001,0.6252395,0.3660337,0.09905933
-12.8,4.06528e-05,-27.1,8,-3.76,0.0,-8.759999999999998,0.02207435,0.3105178,0.09037576
-15.55,0.00011858,-30.65,6,-3.7,2.0,-6.629999999999999,0.565196,0.3135178,0.03524615
-13.17,8.0219e-05,-25.86,6,-2.78,4.0,-7.639999999999999,0.1718275,0.3978761,0.1496683
-12.62,7.82098e-06,-27.09,6,-4.99,4.0,-9.430000000000001,0.3978761,0.1496683,0.05334899
-14.56,0.000477687,-20.55,8,-5.62,4.0,-9.49,0.1739889,0.1823339,0.1036202
-18.57,0.00252553,-25.95,9,-6.34,4.0,-10.309999999999999,0.1823339,0.1036202,0.1302822
-17.45,0.00654056,-24.95,8,-7.56,4.0,-11.27,0.1036202,0.3690746,0.4521787
-20.27,0.00037021,-33.1,9,-4.96,4.0,-4.280000000000001,0.2162885,0.2236171,0.2676616
-15.04,0.00186002,-20.51,7,-3.29,2.0,-5.199999999999999,0.09717304,0.1953946,0.4942838
-19.77,0.00111719,-28.97,10,-5.8,4.0,-6.18,0.2162885,0.2549956,0.5400391
-14.45,0.00216738,-27.15,11,-4.17,0.0,-9.66,0.2086186,0.3798568,0.2611551
-23.95,1.90874e-06,-39.92,10,-7.59,0.0,-5.370000000000001,0.4439026,0.05572797,0.1127287
-21.61,4.46408e-06,-31.55,10,-5.5,4.0,-8.23,0.05572797,0.1400027,0.1266541
-18.55,0.00261283,-25.26,5,-2.18,0.0,-8.529999999999998,0.1266541,0.2018245,0.04937283
-18.52,5.56759e-06,-29.09,11,-4.96,4.0,-7.57,0.06643466,0.7149473,0.05402559
-13.35,6.0613e-06,-27.23,4,-4.97,0.0,-8.72,0.05402559,0.1351752,0.06275478
-16.36,0.000194098,-24.56,8,-6.88,4.0,-5.760000000000002,0.06275478,0.1600339,0.06777852
-12.56,3.15061e-05,-26.4,4,-5.74,2.0,-8.03,0.8589863,0.06777852,0.2923662
-9.44,0.000129095,-17.45,5,-3.62,2.0,-6.270000000000001,0.06777852,0.238389,0.04907411
-15.92,8.29921e-05,-26.89,7,-3.42,2.0,-7.4,0.03622775,0.05557352,0.3112718
-14.54,0.000107086,-27.86,9,-2.93,4.0,-11.66,0.04359102,0.290243,0.05079077
-18.21,6.76832e-05,-31.0,6,-3.62,2.0,-9.189999999999998,0.2568942,0.05079077,0.1449496
-14.75,0.00570923,-21.0,8,-3.14,4.0,-9.57,0.2025735,0.3616203,0.3585046
-18.84,1.89236e-05,-30.9,12,-5.97,2.0,-5.489999999999998,0.3415313,0.3585046,0.3742831
-21.28,0.00106167,-29.63,9,-5.88,4.0,-6.649999999999999,0.3616203,0.3585046,0.3566261
-18.58,5.42681e-05,-28.46,11,-3.99,4.0,-12.420000000000002,0.06506901,0.08185012,0.1043367
-18.44,0.000153005,-26.16,8,-4.77,0.0,-9.45,0.06506901,0.09727407,0.08906671
-22.51,3.45968e-06,-34.97,11,-6.78,2.0,-11.330000000000002,0.08906671,0.2676053,0.1554531
-23.4,8.80884e-06,-33.84,12,-6.59,4.0,-7.620000000000001,0.1143712,0.1330655,0.08409234
-25.3,3.92944e-05,-34.89,10,-5.64,4.0,-6.550000000000001,0.1044483,0.08409234,0.6458936
-15.11,9.27181e-08,-29.19,7,-4.23,4.0,-4.890000000000001,0.05393913,0.09844036,0.001491725
-10.23,0.0566023,-12.37,7,-2.86,6.0,-4.9399999999999995,0.001491725,0.2345881,0.4043132
-11.22,0.0453835,-16.13,7,-2.75,4.0,-8.62,0.4043132,0.3513244,0.2285956
-13.76,0.000682523,-21.87,9,-3.0,4.0,-7.750000000000002,0.2285956,0.05799963,0.05286382
-13.91,1.00098e-08,-29.88,8,-2.71,4.0,-7.210000000000001,0.01915905,0.002686658,0.1778598
-11.93,3.42999e-05,-25.45,6,-4.22,0.0,-10.420000000000002,0.289342,0.1711619,0.2931516
-20.56,2.65826e-05,-31.83,7,-1.78,2.0,-6.610000000000003,0.1711619,0.0220921,0.02217324
-19.37,1.41759e-05,-34.65,11,-4.73,4.0,-6.73,0.0220921,0.2401849,0.1588874
-20.57,0.00632201,-25.83,12,-5.65,4.0,-3.9400000000000013,0.1588874,0.3091715,0.5648042
-18.86,0.0105256,-23.67,11,-6.25,4.0,-7.870000000000001,0.3091715,0.5648042,0.7477696
-19.05,0.00843937,-25.59,8,-5.06,6.0,-4.169999999999998,0.6252395,0.3660337,0.09905933
