id2,E_MERS_1,ED1_MERS_1,ED2_MERS_1,Pu1_MERS_1,Pu2_MERS_1,E_hybrid_MERS_1,P_E_MERS_1,E_MERS_2,ED1_MERS_2,ED2_MERS_2,Pu1_MERS_2,Pu2_MERS_2,E_hybrid_MERS_2,P_E_MERS_2,E_MERS_3,ED1_MERS_3,ED2_MERS_3,Pu1_MERS_3,Pu2_MERS_3,E_hybrid_MERS_3,P_E_MERS_3
GU-100-101,-13.21,5.12,2.91,0.000246694,0.00890122,-21.24,12.4289,,,,,,,,,,,,,,
GU-118-119,-14.05,8.81,6.42,6.19406e-07,2.99299e-05,-29.28,0.913514,,,,,,,,,,,,,,
GU-134-135,-19.24,10.68,3.67,2.98035e-08,0.00259364,-33.59,0.869012,,,,,,,,,,,,,,
GU-227-228,-19.29,8.16,5.65,1.77829e-06,0.000104398,-33.1,0.683926,,,,,,,,,,,,,,
GU-296-297,-17.22,7.77,6.6,3.34825e-06,2.23494e-05,-31.59,0.896849,,,,,,,,,,,,,,
GU-305-306,-14.79,9.39,7.09,2.41699e-07,1.00922e-05,-31.27,5.55311,,,,,,,,,,,,,,
GU-308-309,-18.11,6.28,4.14,3.75627e-05,0.00120982,-28.53,0.80145,,,,,,,,,,,,,,
GU-376-377,-15.78,6.51,7.42,2.58634e-05,5.90811e-06,-29.71,0.790115,,,,,,,,,,,,,,
GU-428-429,-14.58,2.63,0.72,0.0140202,0.310919,-17.93,0.799216,,,,,,,,,,,,,,
GU-431-432,-12.22,13.63,5.75,2.48617e-10,8.87615e-05,-31.6,0.591486,,,,,,,,,,,,,,
GU-455-456,-17.86,10.72,1.69,2.79307e-08,0.0644363,-30.27,0.727538,,,,,,,,,,,,,,
GU-473-474,-17.17,7.66,2.55,4.00249e-06,0.0159634,-27.38,0.749286,,,,,,,,,,,,,,
GU-487-488,-15.61,7.04,0.91,1.09451e-05,0.228435,-23.56,0.914086,,,,,,,,,,,,,,
GU-492-493,-16.76,6.67,0.56,1.99499e-05,0.403081,-23.99,0.410855,,,,,,,,,,,,,,
GU-497-498,-16.74,7.69,1.22,3.81233e-06,0.13814,-25.65,0.352588,,,,,,,,,,,,,,
GU-502-503,-23.06,4.08,0.86,0.00133353,0.24774,-28.0,0.712729,,,,,,,,,,,,,,
GU-504-505,-21.44,4.36,0.62,0.000846637,0.36569,-26.42,0.900043,,,,,,,,,,,,,,
GU-506-507,-18.13,5.97,1.81,6.21155e-05,0.0530361,-25.91,0.867367,,,,,,,,,,,,,,
GU-515-516,-16.66,6.98,6.45,1.20642e-05,2.85079e-05,-30.09,1.16367,,,,,,,,,,,,,,
GU-529-530,-15.12,11.62,6.54,6.48471e-09,2.46346e-05,-33.28,0.936591,,,,,,,,,,,,,,
GU-539-540,-13.91,8.33,6.2,1.34962e-06,4.2769e-05,-28.44,0.588773,,,,,,,,,,,,,,
GU-556-557,-15.94,6.93,4.11,1.30837e-05,0.00127017,-26.98,0.847116,,,,,,,,,,,,,,
GU-568-569,-14.37,3.62,4.36,0.00281283,0.000846637,-22.35,0.940402,,,,,,,,,,,,,,
GU-626-627,-16.45,4.71,1.9,0.000479808,0.0458303,-23.06,0.853881,,,,,,,,,,,,,,
GU-634-635,-17.56,4.78,7.5,0.000428294,5.18891e-06,-29.84,0.618141,,,,,,,,,,,,,,
GU-658-659,-11.15,7.81,4.94,3.13785e-06,0.000330367,-23.9,0.777348,,,,,,,,,,,,,,
GU-676-677,-16.34,5.83,4.95,7.79565e-05,0.00032505,-27.12,0.921144,,,,,,,,,,,,,,
GU-696-697,-14.38,5.72,6.7,9.3189e-05,1.90021e-05,-26.8,0.794077,,,,,,,,,,,,,,
GU-707-708,-14.18,9.54,5.09,1.89486e-07,0.000258999,-28.81,0.343607,,,,,,,,,,,,,,
GU-729-730,-15.66,8.37,2.89,1.26481e-06,0.0091948,-26.92,0.513928,,,,,,,,,,,,,,
GU-748-749,-7.03,9.63,7.54,1.63741e-07,4.86283e-06,-24.2,1.32508,,,,,,,,,,,,,,
GU-753-754,-10.65,5.02,4.47,0.000290151,0.000708248,-20.14,0.785798,,,,,,,,,,,,,,
AC-14-15,-15.58,10.05,1.85,8.28326e-08,0.0497033,-27.48,0.900731,,,,,,,,,,,,,,
AC-39-40,-15.94,7.89,6.13,2.75588e-06,4.79132e-05,-29.96,0.735229,,,,,,,,,,,,,,
AC-50-51,-17.34,6.74,6.36,1.7808e-05,3.29901e-05,-30.44,1350.32,,,,,,,,,,,,,,
AC-57-58,-16.44,4.31,4.29,0.000918185,0.000948469,-25.04,0.951325,,,,,,,,,,,,,,
AC-63-64,-17.58,6.24,1.98,4.00814e-05,0.0402513,-25.8,0.755775,,,,,,,,,,,,,,
AC-84-85,-10.45,4.5,3.5,0.000674599,0.00341745,-18.45,585.632,,,,,,,,,,,,,,
AC-114-115,-17.19,6.04,7.61,5.54465e-05,4.34074e-06,-30.84,0.607744,,,,,,,,,,,,,,
AC-195-196,-11.6,9.49,15.25,2.05499e-07,1.79468e-11,-36.34,4525.95,,,,,,,,,,,,,,
AC-197-198,-13.45,9.4,10.52,2.37809e-07,3.86378e-08,-33.37,346.59,,,,,,,,,,,,,,
AC-206-207,-20.41,3.63,5.48,0.00276756,0.000137557,-29.52,0.528882,,,,,,,,,,,,,,
AC-222-223,-14.22,10.58,9.74,3.50537e-08,1.36976e-07,-34.54,7951060000.0,,,,,,,,,,,,,,
AC-236-237,-17.53,9.33,7.75,2.66412e-07,3.45869e-06,-34.61,0.915211,,,,,,,,,,,,,,
AC-251-252,-17.02,8.57,8.71,9.14309e-07,7.2852e-07,-34.3,0.90083,,,,,,,,,,,,,,
AC-301-302,-18.93,8.96,5.86,4.85598e-07,7.42527e-05,-33.75,0.956773,,,,,,,,,,,,,,
AC-312-313,-18.99,5.66,5.63,0.000102717,0.000107841,-30.28,887.905,,,,,,,,,,,,,,
AC-317-318,-24.28,5.47,4.96,0.000139807,0.000319818,-34.71,0.707995,,,,,,,,,,,,,,
AC-336-337,-13.57,8.91,8.43,5.26635e-07,1.14748e-06,-30.91,0.951913,,,,,,,,,,,,,,
AC-339-340,-19.2,6.91,4.74,1.35152e-05,0.000457012,-30.85,0.888339,,,,,,,,,,,,,,
AC-354-355,-20.03,6.98,8.71,1.20642e-05,7.2852e-07,-35.72,0.748518,,,,,,,,,,,,,,
AC-363-364,-19.61,6.9,5.37,1.37363e-05,0.000164435,-31.88,0.663497,,,,,,,,,,,,,,
AC-390-391,-16.64,7.82,9.34,3.08735e-06,2.62125e-07,-33.8,53.0701,,,,,,,,,,,,,,
AC-395-396,-19.73,5.65,3.83,0.000104398,0.00200062,-29.21,0.677292,,,,,,,,,,,,,,
AC-404-405,-16.81,10.85,6.57,2.26191e-08,2.34642e-05,-34.23,0.729637,,,,,,,,,,,,,,
AC-415-416,-13.73,10.68,9.46,2.98035e-08,2.15749e-07,-33.87,12882000.0,,,,,,,,,,,,,,
AC-425-426,-16.22,9.44,5.18,2.22865e-07,0.00022381,-30.84,0.85411,,,,,,,,,,,,,,
AC-450-451,-13.95,8.62,4.15,8.43064e-07,0.00119035,-26.72,0.274449,,,,,,,,,,,,,,
AC-459-460,-21.86,8.31,3.25,1.39413e-06,0.00512703,-33.42,0.816214,,,,,,,,,,,,,,
AC-519-520,-17.02,7.66,3.82,4.00249e-06,0.00203335,-28.5,0.682541,,,,,,,,,,,,,,
AC-543-544,-16.88,7.42,4.89,5.90811e-06,0.000358286,-29.19,0.964911,,,,,,,,,,,,,,
AC-546-547,-13.57,7.76,6.79,3.40302e-06,1.64203e-05,-28.12,1.14758,,,,,,,,,,,,,,
AC-563-564,-18.9,5.59,1.72,0.000115072,0.0613749,-26.21,0.457164,,,,,,,,,,,,,,
AC-570-571,-17.28,4.13,4.27,0.00122961,0.000979753,-25.68,0.65421,,,,,,,,,,,,,,
AC-576-577,-17.63,4.14,7.23,0.00120982,8.04143e-06,-29.0,4.33421,,,,,,,,,,,,,,
AC-582-583,-16.96,5.17,7.54,0.000227471,4.86283e-06,-29.67,0.551888,,,,,,,,,,,,,,
AC-588-589,-18.66,5.22,6.32,0.000209746,3.52023e-05,-30.2,0.668851,,,,,,,,,,,,,,
AC-590-591,-19.96,6.56,4.14,2.38481e-05,0.00120982,-30.66,0.934955,,,,,,,,,,,,,,
AC-606-607,-10.23,10.43,7.97,4.47128e-08,2.4204e-06,-28.63,0.356586,,,,,,,,,,,,,,
AC-631-632,-15.26,4.79,4.94,0.0004214,0.000330367,-24.99,0.968314,,,,,,,,,,,,,,
AC-636-637,-15.63,4.79,6.37,0.0004214,3.24592e-05,-26.79,0.800373,,,,,,,,,,,,,,
AC-686-687,-16.59,4.8,3.44,0.000414618,0.00376688,-24.83,0.599016,,,,,,,,,,,,,,
AC-722-723,-19.55,5.27,4.47,0.000193402,0.000708248,-29.29,0.928771,,,,,,,,,,,,,,
AC-744-745,-6.07,9.74,10.19,1.36976e-07,6.60009e-08,-26.0,7.71701,,,,,,,,,,,,,,
AC-757-758,-17.38,4.35,4.46,0.000860486,0.000719833,-26.19,0.96265,,,,,,,,,,,,,,
GC-35-36,-11.86,8.62,3.76,8.43064e-07,0.00224126,-24.24,0.963858,,,,,,,,,,,,,,
GC-37-38,-14.18,7.78,4.17,3.29437e-06,0.00115234,-26.13,118.354,,,,,,,,,,,,,,
GC-41-42,-13.73,7.86,6.67,2.89334e-06,1.99499e-05,-28.26,1.41451,,,,,,,,,,,,,,
GC-97-98,-13.25,5.82,2.12,7.92317e-05,0.0320722,-21.19,0.93788,,,,,,,,,,,,,,
GC-103-104,-15.78,5.48,7.9,0.000137557,2.71152e-06,-29.16,0.813986,,,,,,,,,,,,,,
GC-111-112,-14.89,6.54,6.88,2.46346e-05,1.41894e-05,-28.31,0.69023,,,,,,,,,,,,,,
GC-125-126,-18.67,7.29,2.82,7.29548e-06,0.0103007,-28.78,0.955913,,,,,,,,,,,,,,
GC-138-139,-14.42,12.08,5.64,3.07432e-09,0.000106105,-32.14,0.67896,,,,,,,,,,,,,,
GC-140-141,-12.65,2.47,2.9,0.018176,0.00904682,-18.02,0.65099,,,,,,,,,,,,,,
GC-143-144,-15.18,13.6,10.41,2.61018e-10,4.61876e-08,-39.19,0.945742,,,,,,,,,,,,,,
GC-145-146,-15.56,13.67,12.76,2.32994e-10,1.01996e-09,-41.99,0.808255,,,,,,,,,,,,,,
GC-155-156,-13.84,14.03,12.69,1.29918e-10,1.14264e-09,-40.56,0.780457,,,,,,,,,,,,,,
GC-158-159,-12.13,13.64,15.22,2.44616e-10,1.8842e-11,-40.99,520.583,,,,,,,,,,,,,,
GC-164-165,-18.05,11.69,9.56,5.78848e-09,1.83435e-07,-39.3,0.737618,,,,,,,,,,,,,,
GC-166-167,-15.77,11.13,10.98,1.43606e-08,1.83177e-08,-37.88,0.896226,,,,,,,,,,,,,,
GC-171-172,-16.97,9.01,4.41,4.47759e-07,0.000780665,-30.39,0.959699,,,,,,,,,,,,,,
GC-184-185,-17.3,9.55,4.43,1.86436e-07,0.000755738,-31.28,0.833809,,,,,,,,,,,,,,
GC-187-188,-20.32,9.42,4.75,2.30216e-07,0.000449657,-34.49,0.934585,,,,,,,,,,,,,,
GC-193-194,-15.53,9.65,10.11,1.58513e-07,7.51488e-08,-35.29,0.976157,,,,,,,,,,,,,,
GC-199-200,-10.05,1.03,0.01,0.18802,0.983906,-11.09,0.525699,,,,,,,,,,,,,,
GC-209-210,-22.56,4.13,2.76,0.00122961,0.011354,-29.45,0.953167,,,,,,,,,,,,,,
GC-212-213,-17.3,5.71,6.76,9.47133e-05,1.72394e-05,-29.77,0.984309,,,,,,,,,,,,,,
GC-230-231,-15.95,8.09,7.72,1.99218e-06,3.63121e-06,-31.76,0.755273,,,,,,,,,,,,,,
GC-241-242,-15.2,8.24,8.43,1.56182e-06,1.14748e-06,-31.87,49.6206,,,,,,,,,,,,,,
GC-244-245,-19.4,7.21,5.13,8.30665e-06,0.000242723,-31.74,0.946981,,,,,,,,,,,,,,
GC-247-248,-19.33,7.74,5.3,3.51527e-06,0.000184213,-32.37,0.81195,,,,,,,,,,,,,,
GC-257-258,-21.58,6.51,4.61,2.58634e-05,0.00056433,-32.7,0.466637,,,,,,,,,,,,,,
GC-260-261,-20.14,6.61,8.16,2.19897e-05,1.77829e-06,-34.91,0.526592,,,,,,,,,,,,,,
GC-267-268,-19.98,11.72,5.74,5.51347e-09,9.02135e-05,-37.44,0.555428,,,,,,,,,,,,,,
GC-269-270,-14.45,12.85,12.21,8.8138e-10,2.48968e-09,-39.51,0.94217,,,,,,,,,,,,,,
GC-272-273,-12.16,16.62,11.53,1.9436e-12,7.50429e-09,-40.31,0.432733,,,,,,,,,,,,,,
GC-275-276,-12.85,16.9,8.67,1.23397e-12,7.7737e-07,-38.42,0.883411,,,,,,,,,,,,,,
GC-280-281,-13.73,14.26,8.86,8.94535e-11,5.7114e-07,-36.85,6.54606,,,,,,,,,,,,,,
GC-284-285,-12.97,11.49,11.0,8.00748e-09,1.77328e-08,-35.46,31.9729,,,,,,,,,,,,,,
GC-286-287,-11.36,13.01,11.74,6.79858e-10,5.33743e-09,-36.11,0.605359,,,,,,,,,,,,,,
GC-291-292,-21.58,7.84,4.68,2.98877e-06,0.000503741,-34.1,0.925167,,,,,,,,,,,,,,
GC-298-299,-15.45,9.36,6.73,2.53755e-07,1.80993e-05,-31.54,0.739963,,,,,,,,,,,,,,
GC-324-325,-17.54,9.23,7.28,3.13343e-07,7.41481e-06,-34.05,0.566336,,,,,,,,,,,,,,
GC-329-330,-14.35,8.73,10.71,7.05258e-07,2.83876e-08,-33.79,0.903845,,,,,,,,,,,,,,
GC-333-334,-9.04,8.99,12.04,4.62527e-07,3.28046e-09,-30.07,0.567244,,,,,,,,,,,,,,
GC-348-349,-16.25,5.84,6.95,7.67018e-05,1.26659e-05,-29.04,0.545691,,,,,,,,,,,,,,
GC-351-352,-20.66,6.44,5.73,2.89742e-05,9.16891e-05,-32.83,0.642391,,,,,,,,,,,,,,
GC-357-358,-13.57,6.79,9.92,1.64203e-05,1.02284e-07,-30.28,0.570991,,,,,,,,,,,,,,
GC-360-361,-17.16,6.79,6.54,1.64203e-05,2.46346e-05,-30.49,0.984518,,,,,,,,,,,,,,
GC-368-369,-11.79,6.65,7.35,2.06079e-05,6.61872e-06,-25.79,0.705,,,,,,,,,,,,,,
GC-382-383,-14.03,7.59,6.27,4.48391e-06,3.81771e-05,-27.89,0.922768,,,,,,,,,,,,,,
GC-385-386,-15.28,7.69,7.59,3.81233e-06,4.48391e-06,-30.56,29615.3,,,,,,,,,,,,,,
GC-388-389,-12.27,7.07,9.95,1.0425e-05,9.74243e-08,-29.29,0.902741,,,,,,,,,,,,,,
GC-397-398,-21.27,5.44,3.45,0.00014678,0.00370625,-30.16,0.974533,,,,,,,,,,,,,,
GC-407-408,-16.15,11.15,5.93,1.39021e-08,6.62806e-05,-33.23,0.955608,,,,,,,,,,,,,,
GC-409-410,-16.25,11.92,4.71,3.9856e-09,0.000479808,-32.88,0.92351,,,,,,,,,,,,,,
GC-417-418,-13.1,6.46,9.54,2.80491e-05,1.89486e-07,-29.1,0.972911,,,,,,,,,,,,,,
GC-422-423,-15.63,8.66,4.91,7.90086e-07,0.000346846,-29.2,0.958038,,,,,,,,,,,,,,
GC-439-440,-13.14,10.38,4.82,4.84914e-08,0.00040138,-28.34,0.802717,,,,,,,,,,,,,,
GC-476-477,-14.28,5.69,1.73,9.78372e-05,0.0603871,-21.7,0.81403,,,,,,,,,,,,,,
GC-513-514,-16.36,6.98,3.73,1.20642e-05,0.00235305,-27.07,0.938097,,,,,,,,,,,,,,
GC-532-533,-14.31,11.54,4.61,7.38352e-09,0.00056433,-30.46,0.953064,,,,,,,,,,,,,,
GC-551-552,-13.01,7.54,5.34,4.86283e-06,0.000172637,-25.89,52.1933,,,,,,,,,,,,,,
GC-580-581,-20.27,4.61,5.12,0.00056433,0.000246694,-30.0,0.975818,,,,,,,,,,,,,,
GC-586-587,-20.4,5.76,6.23,8.7333e-05,4.07371e-05,-32.39,0.977088,,,,,,,,,,,,,,
GC-612-613,-13.04,9.43,3.14,2.26511e-07,0.00612884,-25.61,13.9672,,,,,,,,,,,,,,
GC-620-621,-12.91,11.75,4.27,5.25152e-09,0.000979753,-28.93,805.306,,,,,,,,,,,,,,
GC-639-640,-11.15,7.35,7.25,6.61872e-06,7.78466e-06,-25.75,0.461662,,,,,,,,,,,,,,
GC-645-646,-10.07,9.73,14.44,1.39217e-07,6.67973e-11,-34.24,22228.6,,,,,,,,,,,,,,
GC-649-650,-15.4,9.57,7.45,1.80483e-07,5.62741e-06,-32.42,0.952176,,,,,,,,,,,,,,
GC-652-653,-11.79,9.47,3.52,2.12277e-07,0.00330833,-24.78,0.364197,,,,,,,,,,,,,,
GC-673-674,-18.01,5.69,0.72,9.78372e-05,0.310919,-24.42,0.497164,,,,,,,,,,,,,,
GC-691-692,-11.5,4.46,5.49,0.000719833,0.000135343,-21.45,684.513,,,,,,,,,,,,,,
GC-701-702,-15.58,9.13,2.13,3.68541e-07,0.031556,-26.84,0.916509,,,,,,,,,,,,,,
GC-713-714,-13.04,9.92,3.19,1.02284e-07,0.00565126,-26.15,0.642666,,,,,,,,,,,,,,
GC-717-718,-10.78,8.71,8.24,7.2852e-07,1.56182e-06,-27.73,1.93741,,,,,,,,,,,,,,
GC-731-732,-13.39,10.71,4.4,2.83876e-08,0.000793435,-28.5,0.754045,,,,,,,,,,,,,,
GC-741-742,-9.81,9.93,5.96,1.00638e-07,6.31316e-05,-25.7,21.695,,,,,,,,,,,,,,
GC-761-762,-18.14,3.91,5.02,0.00175709,0.000290151,-27.07,0.498265,,,,,,,,,,,,,,
GC-765-766,-16.64,0.88,3.42,0.239829,0.00389112,-20.94,0.560765,,,,,,,,,,,,,,
AU-30-31,,,,,,,,-11.8,8.04,3.5,2.16053e-06,0.00341745,-23.34,0.514446,,,,,,,
AU-32-33,,,,,,,,-15.8,7.46,2.67,5.53684e-06,0.0131391,-25.93,0.746799,,,,,,,
AU-60-61,,,,,,,,-20.02,4.17,3.09,0.00115234,0.00664678,-27.28,0.688643,,,,,,,
AU-71-72,,,,,,,,-18.64,4.02,2.13,0.00146988,0.031556,-24.79,0.548902,,,,,,,
AU-77-78,,,,,,,,-14.94,3.54,1.73,0.0032027,0.0603871,-20.21,0.712504,,,,,,,
AU-86-87,,,,,,,,-9.34,3.39,5.07,0.00408521,0.000267542,-17.8,0.781631,,,,,,,
AU-90-91,,,,,,,,-10.42,2.29,0.93,0.0243409,0.221141,-13.64,0.470241,,,,,,,
AU-93-94,,,,,,,,-10.84,5.62,4.24,0.000109605,0.00102862,-20.7,0.776037,,,,,,,
AU-123-124,,,,,,,,-20.68,6.95,2.73,1.26659e-05,0.0119203,-30.36,0.646021,,,,,,,
AU-132-133,,,,,,,,-17.08,10.22,4.5,6.28651e-08,0.000674599,-31.8,0.618285,,,,,,,
AU-173-174,,,,,,,,-17.04,8.87,5.74,5.61948e-07,9.02135e-05,-31.65,0.747791,,,,,,,
AU-204-205,,,,,,,,-21.61,3.81,7.51,0.00206661,5.10539e-06,-32.93,0.779427,,,,,,,
AU-214-215,,,,,,,,-20.44,5.74,6.4,9.02135e-05,3.0917e-05,-32.58,0.762105,,,,,,,
AU-374-375,,,,,,,,-18.14,6.17,5.92,4.49023e-05,6.73648e-05,-30.23,0.480008,,,,,,,
AU-470-471,,,,,,,,-19.08,8.94,0.05,5.01615e-07,0.922077,-28.07,0.594398,,,,,,,
AU-500-501,,,,,,,,-25.05,4.18,1.38,0.0011338,0.106555,-30.61,0.967851,,,,,,,
AU-527-528,,,,,,,,-16.18,9.89,5.75,1.07386e-07,8.87615e-05,-31.82,0.566902,,,,,,,
AU-548-549,,,,,,,,-12.85,7.67,6.92,3.93808e-06,1.32977e-05,-27.44,19.066,,,,,,,
AU-560-561,,,,,,,,-19.97,6.79,2.25,1.64203e-05,0.025973,-29.01,0.875445,,,,,,,
AU-596-597,,,,,,,,-13.41,6.02,7.15,5.72753e-05,9.15599e-06,-26.58,0.760201,,,,,,,
AU-603-604,,,,,,,,-14.55,8.65,4.0,8.0301e-07,0.00151836,-27.2,0.724187,,,,,,,
AU-618-619,,,,,,,,-9.37,0.33,5.96,0.585414,6.31316e-05,-15.66,0.80419,,,,,,,
AU-647-648,,,,,,,,-13.42,9.75,13.79,1.34772e-07,1.91772e-10,-36.96,0.977046,,,,,,,
AU-663-664,,,,,,,,-13.1,6.6,0.55,2.23494e-05,0.409674,-20.25,0.507231,,,,,,,
AU-719-720,,,,,,,,-14.06,5.27,6.72,0.000193402,1.83953e-05,-26.05,1.63246,,,,,,,
AU-735-736,,,,,,,,-12.15,12.07,7.67,3.12461e-09,3.93808e-06,-31.89,0.448954,,,,,,,
AU-759-760,,,,,,,,-19.53,4.34,4.26,0.000874562,0.000995779,-28.13,8.85168,,,,,,,
GU-11-12,,,,,,,,-11.64,5.85,5.92,7.54673e-05,6.73648e-05,-23.41,0.231562,,,,,,,
GU-55-56,,,,,,,,-12.52,3.63,4.58,0.00276756,0.000592479,-20.73,0.802387,,,,,,,
GU-74-75,,,,,,,,-17.83,4.1,0.67,0.00129095,0.337194,-22.6,0.809136,,,,,,,
GU-82-83,,,,,,,,-7.04,5.4,6.15,0.000156623,4.63834e-05,-18.59,0.206446,,,,,,,
GU-100-101,,,,,,,,-13.21,5.12,2.91,0.000246694,0.00890122,-21.24,12.0211,,,,,,,
GU-118-119,,,,,,,,-14.05,8.81,6.42,6.19406e-07,2.99299e-05,-29.28,0.913345,,,,,,,
GU-134-135,,,,,,,,-19.24,10.68,3.67,2.98035e-08,0.00259364,-33.59,0.869002,,,,,,,
GU-227-228,,,,,,,,-19.29,8.16,5.65,1.77829e-06,0.000104398,-33.1,0.683926,,,,,,,
GU-296-297,,,,,,,,-17.22,7.77,6.6,3.34825e-06,2.23494e-05,-31.59,0.881484,,,,,,,
GU-305-306,,,,,,,,-14.79,9.39,7.09,2.41699e-07,1.00922e-05,-31.27,5.43913,,,,,,,
GU-308-309,,,,,,,,-18.11,6.28,4.14,3.75627e-05,0.00120982,-28.53,0.696268,,,,,,,
GU-376-377,,,,,,,,-15.78,6.51,7.42,2.58634e-05,5.90811e-06,-29.71,0.790109,,,,,,,
GU-428-429,,,,,,,,-14.58,2.63,0.72,0.0140202,0.310919,-17.93,0.788585,,,,,,,
GU-431-432,,,,,,,,-12.22,13.63,5.75,2.48617e-10,8.87615e-05,-31.6,0.581006,,,,,,,
GU-455-456,,,,,,,,-17.86,10.72,1.69,2.79307e-08,0.0644363,-30.27,0.72753,,,,,,,
GU-473-474,,,,,,,,-17.17,7.66,2.55,4.00249e-06,0.0159634,-27.38,0.74928,,,,,,,
GU-487-488,,,,,,,,-15.61,7.04,0.91,1.09451e-05,0.228435,-23.56,0.91334,,,,,,,
GU-492-493,,,,,,,,-16.76,6.67,0.56,1.99499e-05,0.403081,-23.99,0.41085,,,,,,,
GU-497-498,,,,,,,,-16.74,7.69,1.22,3.81233e-06,0.13814,-25.65,0.352582,,,,,,,
GU-502-503,,,,,,,,-23.06,4.08,0.86,0.00133353,0.24774,-28.0,0.712729,,,,,,,
GU-504-505,,,,,,,,-21.44,4.36,0.62,0.000846637,0.36569,-26.42,0.900043,,,,,,,
GU-506-507,,,,,,,,-18.13,5.97,1.81,6.21155e-05,0.0530361,-25.91,0.867367,,,,,,,
GU-515-516,,,,,,,,-16.66,6.98,6.45,1.20642e-05,2.85079e-05,-30.09,0.699639,,,,,,,
GU-529-530,,,,,,,,-15.12,11.62,6.54,6.48471e-09,2.46346e-05,-33.28,0.935863,,,,,,,
GU-539-540,,,,,,,,-13.91,8.33,6.2,1.34962e-06,4.2769e-05,-28.44,0.584815,,,,,,,
