E_1,Etotal_1,ED1_1,ED2_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_2,Etotal_2,ED1_2,ED2_2,Pu1_2,Pu2_2,E_hybrid_2,seedNumber_2,seedEbest_2,E_3,Etotal_3,ED1_3,ED2_3,Pu1_3,Pu2_3,E_hybrid_3,seedNumber_3,seedEbest_3,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-22.51,-834.27,11,10.08,7.62696e-9,3.64152e-8,-43.59,9,-8.7,-26.77,-838.53,15.87,10.08,1.94289e-12,3.64152e-8,-52.72,12,-8.7,-9.67,-29.83,9.68,9.7,7.18571e-8,6.9456e-8,-29.05,2,-6.79,0.1139545,0.04234508,0.05463199,0.00438398,0
-17.8,-824.83,2.06,5.35,0.0301846,1.12686e-4,-25.21,10,-7.42,-26.86,-833.89,3.13,5.35,0.00489959,1.12686e-4,-35.34,14,-7.42,-7.47,-18.17,4.44,4.44,5.28959e-4,5.28959e-4,-16.35,4,-1.86,0.7060408,0.0306562,0.395822,0.6009841,0.37
-12.33,-822.72,3.64,8.69,0.00205966,3.86418e-7,-24.66,4,-1.57,-20.61,-831,4.49,8.69,4.85874e-4,3.86418e-7,-33.79,5,-1.57,0,0,999999,999999,0,0,0,0,0,0.5679471,0.7027952,0.6260772,0.6252013,0.01
-12.84,-824.24,4.39,5.63,5.75865e-4,7.00229e-5,-22.86,5,-4.72,-21.81,-833.21,7.53,5.77,2.77396e-6,5.51981e-5,-35.11,7,-5.85,-5.37,-24.81,5.77,7.6,5.51981e-5,2.46288e-6,-18.74,1,-2.93,8.735421e-4,0.08241462,0.179737,0.1826446,0.02
-18.19,-829.01,2.85,9.14,0.00788481,1.79876e-7,-30.18,11,-5.61,-25.31,-836.13,2.9,9.14,0.00724257,1.79876e-7,-37.35,15,-5.61,-9.49,-27.77,3.47,3.47,0.00274948,0.00274948,-16.43,4,-3.17,0.6138378,0.627174,0.4456874,0.08050097,0.03
-19.2,-832.65,6.31,11.77,2.20507e-5,2.06118e-9,-37.28,12,-5.01,-26.46,-839.91,10.46,11.77,1.90921e-8,2.06118e-9,-48.69,14,-5.01,-7.13,-30.67,4.35,4.35,6.16367e-4,6.16367e-4,-15.83,4,-1.61,0.2676057,0.3116083,0.03821439,0.2847166,0.01
-11.54,-822.07,3.63,4.41,0.00209496,5.56623e-4,-19.58,5,-1.65,-21.08,-831.61,4.21,4.41,7.81906e-4,5.56623e-4,-29.7,9,-3.61,-6.76,-24.46,1.52,1.52,0.0755594,0.0755594,-9.8,2,-0.5,0.6393409,0.7826716,0.05048142,0.1838168,0.05
-17.6,-827.99,6.94,8.71,7.55965e-6,3.73507e-7,-33.25,11,-5.65,-27.16,-837.55,7.52,8.71,2.8215e-6,3.73507e-7,-43.39,15,-5.79,-10.51,-27.93,8.71,8.71,3.73507e-7,3.73507e-7,-27.93,4,-7.37,0.2902456,0.0770423,0.04210991,0.9642057,0.03
-13.74,-820.52,6.64,5.1,1.25861e-5,1.72331e-4,-25.48,8,-3.74,-20.44,-827.22,6.85,5.1,8.80884e-6,1.72331e-4,-32.39,11,-3.74,-8.93,-19.13,3.4,0.9,0.00309677,0.216685,-13.23,3,-5.68,0.1982033,0.2477718,0.0283407,0.1551031,0.21
-20.76,-827.19,4.65,4.75,3.7021e-4,3.12357e-4,-30.16,10,-3.94,-28.76,-835.19,5.52,4.75,8.44144e-5,3.12357e-4,-39.03,14,-3.94,-11.75,-21.25,2.3,2.3,0.0200758,0.0200758,-16.35,4,-5.09,0.02717174,0.09235515,0.1334552,0.1371982,0.14
-19.74,-825.58,4.81,4.16,2.82081e-4,8.51242e-4,-28.71,10,-4.97,-28.95,-834.79,4.82,4.16,2.77328e-4,8.51242e-4,-37.93,14,-4.97,-8.61,-16.93,3.91,3.91,0.0013018,0.0013018,-16.43,4,-3.11,0.3894547,0.7502605,0.04573199,0.03954283,0.2
-20.3,-825.28,6.76,3.3,1.02645e-5,0.00367033,-30.36,10,-5.94,-26.79,-831.77,7.51,3.3,2.86986e-6,0.00367033,-37.6,12,-5.94,-12.03,-18.63,2.03,2.03,0.0317632,0.0317632,-16.09,4,-4.8,0.1208723,0.1562359,0.08522924,0.01840195,0.15
-19.78,-825.14,4.56,3.68,4.31386e-4,0.00192432,-28.02,8,-4.15,-27.42,-832.78,6.13,3.68,2.99403e-5,0.00192432,-37.23,12,-6.17,-11.79,-19.15,2.28,2.28,0.0207698,0.0207698,-16.35,4,-4.16,0.08891416,0.6464432,0.3530015,0.05414203,0.21
-14.92,-825.16,5.24,8.56,1.35846e-4,4.81941e-7,-28.72,9,-4.38,-24.72,-834.96,5.85,8.56,4.81822e-5,4.81941e-7,-39.13,13,-4.38,-5.17,-22.29,5.63,5.63,7.00229e-5,7.00229e-5,-16.43,2,-0.92,0.5072974,0.08550011,0.2679765,0.3273439,0.01
-17.9,-824.7,7.49,5.12,2.96906e-6,1.66573e-4,-30.51,5,-3.04,-25.63,-832.43,8.83,5.12,3.04609e-7,1.66573e-4,-39.58,7,-3.04,-15.57,-25.81,5.12,5.12,1.66573e-4,1.66573e-4,-25.81,4,-7.07,0.07707229,0.1323423,0.01508714,0.1345453,0
-18.53,-827.57,5.22,7.36,1.40542e-4,3.70301e-6,-31.11,8,-6.21,-21.7,-830.74,6.63,7.36,1.28018e-5,3.70301e-6,-35.69,10,-6.21,-6.75,-21.47,7.36,7.36,3.70301e-6,3.70301e-6,-21.47,4,-2.03,0.00962176,0.8430271,0.3294341,0.3887837,0.03
-14.53,-823.54,5.37,7.33,1.08921e-4,3.89668e-6,-27.23,10,-5.79,-21.53,-830.54,8.55,7.33,4.902e-7,3.89668e-6,-37.41,14,-5.79,-12.75,-27.41,1.84,1.84,0.0438671,0.0438671,-16.43,4,-4.68,0.6609031,0.1171768,0.2357635,0.2021876,0.14
-9.25,-823.9,6.04,6.36,3.48878e-5,2.02546e-5,-21.65,4,-1.91,-16.56,-831.21,6.49,7.08,1.62401e-5,5.95918e-6,-30.13,4,-1.91,-10.99,-36.93,12.97,12.97,2.68259e-10,2.68259e-10,-36.93,4,-6.69,0.07266604,0.1009511,0.2305867,0.04792167,0
-9.59,-819.35,1.99,5.96,0.0339972,3.99678e-5,-17.54,5,-1.27,-17.85,-827.61,2.14,8.03,0.026348,1.18609e-6,-28.02,7,-1.35,0,0,999999,999999,0,0,0,0,0,0.4055138,0.04414122,0.0790618,0.1306597,0.08
-19.85,-771.13,4.16,5.39,8.51242e-4,1.05282e-4,-29.4,12,-4.14,-30.1,-781.38,4.67,5.39,3.5784e-4,1.05282e-4,-40.16,16,-6.06,-13.09,-23.87,5.39,5.39,1.05282e-4,1.05282e-4,-23.87,4,-5.34,0.2182085,0.06667799,0.07905414,0.1079844,0.01
-22.13,-773.73,6.83,5.71,9.11336e-6,6.11227e-5,-34.67,12,-6.41,-31.44,-783.04,7.33,5.71,3.89668e-6,6.11227e-5,-44.48,16,-6.41,-8.23,-19.65,1.03,1.03,0.173737,0.173737,-10.29,4,-2.81,0.1206355,0.4085739,0.9460805,0.05960158,0.19
-10.33,-765.23,4.58,9.01,4.16972e-4,2.24341e-7,-23.92,7,-5.02,-22.77,-777.67,6.66,9.01,1.21656e-5,2.24341e-7,-38.44,10,-7.9,-6.41,-24.43,9.01,9.01,2.24341e-7,2.24341e-7,-24.43,2,-0.28,0.861764,0.3035084,0.07760359,0.05016753,0.05
-18.89,-769.84,7.43,5.06,3.28774e-6,1.84451e-4,-31.38,9,-4.22,-23.57,-774.52,7.71,5.06,2.04299e-6,1.84451e-4,-36.34,11,-4.22,-11.17,-21.29,5.06,5.06,1.84451e-4,1.84451e-4,-21.29,4,-3.71,0.2296416,0.04747801,0.3097605,0.009329905,0
-19.93,-768.82,7.84,3,1.63806e-6,0.00611077,-30.77,10,-5.21,-29.71,-778.6,8.61,3,4.42685e-7,0.00611077,-41.32,14,-5.21,-11.11,-17.11,2.33,2.33,0.0190781,0.0190781,-15.77,4,-5.28,0.6511048,0.0346846,0.08411561,0.3717475,0.05
-9.36,-769.36,4.15,14.11,8.6583e-4,3.86608e-11,-27.62,3,-4.45,-18.2,-778.2,5.35,14.11,1.12686e-4,3.86608e-11,-37.66,3,-4.45,-5.74,-33.96,0.46,0.46,0.457651,0.457651,-6.66,2,-5.2,0.7332417,0.6717344,0.06848977,0.05693037,0
-15.93,-766.05,8.05,4.23,1.14646e-6,7.5578e-4,-28.21,12,-6.34,-25.17,-775.29,8.48,4.23,5.52117e-7,7.5578e-4,-37.88,16,-6.34,-11.93,-20.39,4.2,4.2,7.95306e-4,7.95306e-4,-20.33,4,-3.86,0.4042189,0.09249722,0.01161707,0.05486905,0
-11.7,-766.87,2.86,0.56,0.00775196,0.386134,-15.12,6,-2.43,-21.04,-776.21,3.49,0.63,0.00265761,0.342831,-25.16,10,-6.89,-13.47,-32.03,9.28,9.28,1.41794e-7,1.41794e-7,-32.03,6,-6.54,0.03537821,0.04812869,0.2609214,0.2661049,0
-21.66,-770.26,2.64,2.71,0.0112659,0.0100025,-27.01,11,-5.11,-29.48,-778.08,2.81,2.71,0.00843937,0.0100025,-35,15,-5.75,-11.18,-16.6,2.6,2.63,0.0120582,0.0114589,-16.41,4,-4.06,0.1024385,0.7054641,0.7648239,0.7880369,0
-19.48,-773.33,3.81,7.83,0.00154291,1.66614e-6,-31.12,7,-2.5,-26.08,-779.93,4.18,7.93,8.22799e-4,1.40577e-6,-38.19,10,-2.5,-8.05,-23.97,4.09,4.09,9.58762e-4,9.58762e-4,-16.23,2,-0.52,0.329789,0.2270374,0.1299172,0.04640056,0.04
-17.67,-769.56,7.25,6,4.46408e-6,3.73415e-5,-30.92,12,-5.13,-27.87,-779.76,7.52,6,2.8215e-6,3.73415e-5,-41.39,16,-5.13,-10.41,-22.41,5.98,5.98,3.86324e-5,3.86324e-5,-22.37,4,-5.72,0.1489531,0.2130526,0.2136532,0.1995129,0.04
-13.46,-771.64,4.14,12.29,8.80668e-4,8.51869e-10,-29.89,4,-4.9,-19.05,-777.23,4.29,12.29,6.82523e-4,8.51869e-10,-35.63,4,-4.9,0,0,999999,999999,0,0,0,0,0,0.4190063,0.07066703,0.1546051,0.05164015,0
-9.87,-768.02,6.22,12.26,2.56944e-5,8.96421e-10,-28.35,5,-4.77,-16.99,-775.14,8.58,12.26,4.65837e-7,8.96421e-10,-37.83,9,-4.77,-10.53,-35.05,0.19,0.19,0.724079,0.724079,-10.91,4,-4,0.122415,0.03828542,0.4565377,0.1969576,0.02
-14.26,-767,4.31,6.85,6.59717e-4,8.80884e-6,-25.42,10,-2.07,-22.01,-774.75,4.45,6.85,5.20047e-4,8.80884e-6,-33.31,14,-4.79,-12.39,-26.09,6.85,6.85,8.80884e-6,8.80884e-6,-26.09,4,-2.68,0.641321,0.6694548,0.03458029,0.04821137,0.01
-19.89,-774.41,2.63,8.63,0.0114589,4.27894e-7,-31.15,12,-7.79,-28.19,-782.71,4.76,8.63,3.07095e-4,4.27894e-7,-41.58,16,-7.79,-4.56,-21.82,4.19,4.19,8.08936e-4,8.08936e-4,-12.94,2,-0.76,0.2224705,0.2311249,0.5071413,0.386287,0.18
-18.71,-769.15,2.85,4.55,0.00788481,4.38779e-4,-26.11,8,-5.84,-25.96,-776.4,3.73,4.55,0.00176758,4.38779e-4,-34.24,12,-5.84,-12.99,-22.09,4.54,4.54,4.46298e-4,4.46298e-4,-22.07,4,-5.24,0.5451849,0.5599846,0.2927647,0.187819,0
-15.4,-769.96,2.63,5.09,0.0114589,1.75284e-4,-23.12,5,-3.55,-24.6,-779.16,3.1,5.09,0.00515584,1.75284e-4,-32.79,6,-3.55,-9.83,-27.17,8.67,8.67,3.99776e-7,3.99776e-7,-27.17,4,-3.7,0.4292165,0.3127823,0.07124596,0.1372519,0
-16.9,-768.23,4.06,5.44,0.0010089,9.67061e-5,-26.4,8,-3.58,-24.94,-776.27,4.08,5.44,9.75193e-4,9.67061e-5,-34.46,12,-4.75,-10.31,-21.19,5.41,5.41,1.01764e-4,1.01764e-4,-21.13,4,-1.39,0.9873714,0.1172563,0.08653774,0.1367726,0.03
-17.31,-768.77,8.3,5.57,7.49662e-7,7.75386e-5,-31.18,11,-5.69,-24.69,-776.15,8.9,5.57,2.70448e-7,7.75386e-5,-39.16,15,-5.69,-11.67,-22.81,2.38,2.38,0.0175241,0.0175241,-16.43,4,-4.3,0.08299017,0.01955963,0.2805681,0.2141669,0.22
-18.14,-771,5.33,6.97,1.16582e-4,7.18394e-6,-30.44,8,-8.23,-27.3,-780.16,6.22,6.97,2.56944e-5,7.18394e-6,-40.49,12,-8.23,0,0,999999,999999,0,0,0,0,0,0.06652945,0.2685747,0.7527458,0.2934664,0.19
-12.86,-763.76,6.75,5.01,1.04404e-5,2.00808e-4,-24.62,9,-4.41,-20.27,-771.17,7.79,5.01,1.78332e-6,2.00808e-4,-33.07,13,-4.41,-9.32,-19.34,1.26,1.26,0.117533,0.117533,-11.84,2,-1.88,0.2893348,0.1154838,0.5703905,0.9548111,0.09
-10.44,-764.26,2.27,7.41,0.0211258,3.40139e-6,-20.12,2,-1.06,-18.03,-771.85,2.27,7.51,0.0211258,2.86986e-6,-27.81,5,-2.07,-10.07,-25.93,3.16,3.16,0.00465609,0.00465609,-16.39,4,-4.63,0.5667476,0.0358455,0.07647938,0.09378025,0
-13.38,-765.01,3.28,5.74,0.00379721,5.80849e-5,-22.4,3,-4.94,-23.21,-774.84,3.8,5.74,0.00156936,5.80849e-5,-32.75,4,-4.94,-11.09,-22.57,1.86,1.86,0.0424013,0.0424013,-14.81,4,-4.84,0.1514836,0.2303399,0.1356832,0.1340578,0.03
-12.33,-765.93,3.73,7.71,0.00176758,2.04299e-6,-23.77,5,-1.69,-20.14,-773.74,6.16,7.71,2.84523e-5,2.04299e-6,-34.01,9,-3.66,-10.57,-25.99,2.93,2.93,0.00688262,0.00688262,-16.43,4,-3.05,0.1107101,0.568258,0.357455,0.2778523,0.06
-9.81,-760.3,9.38,4.6,1.19635e-7,4.03039e-4,-23.79,3,-1.5,-18.86,-769.35,10.03,4.6,3.96443e-8,4.03039e-4,-33.49,6,-2.18,-8.69,-17.89,3.87,3.87,0.00139336,0.00139336,-16.43,2,-0.79,0.082195,0.2284893,0.0474013,0.008199068,0.07
-25.26,-772.72,3.61,1.57,0.00216738,0.0694049,-30.44,11,-7.47,-32.05,-779.51,4.16,1.57,8.51242e-4,0.0694049,-37.78,15,-7.47,-14.55,-17.69,1.57,1.57,0.0694049,0.0694049,-17.69,4,-6.39,0.4695441,0.5338062,0.4673576,0.5862914,0.42
-17.83,-773.15,4.29,9.43,6.82523e-4,1.09891e-7,-31.55,8,-4.78,-24.96,-780.28,4.58,9.43,4.16972e-4,1.09891e-7,-38.97,12,-4.78,-9.96,-28.82,1.46,1.46,0.0836694,0.0836694,-12.88,4,-0.64,0.4369639,0.2047251,0.2784241,0.3169451,0.01
-20.42,-386.16,7.78,8.33,1.81388e-6,7.12404e-7,-36.53,8,-6.67,-31.1,-396.84,7.89,8.33,1.50464e-6,7.12404e-7,-47.32,12,-9.66,0,0,999999,999999,0,0,0,0,0,0.01286162,0.1147355,0.009715631,0.04969379,0.09
-20.4,-390.69,4.05,7.12,0.00102619,5.56759e-6,-31.57,4,-1.92,-27.36,-397.65,4.32,7.12,6.48602e-4,5.56759e-6,-38.8,8,-2.43,0,0,999999,999999,0,0,0,0,0,0.094612280000000007,0.3701565,0.4355419,0.07601848,0.03
-20.69,-387.12,3.78,7.87,0.00162361,1.55665e-6,-32.34,8,-6.48,-28.66,-395.09,4.19,6.06,8.08936e-4,3.3722e-5,-38.91,12,-6.48,-8.67,-26.71,6.06,7.8,3.3722e-5,1.75327e-6,-22.53,2,-1.2,0.1073128,0.06815727,0.2444808,0.2955807,0.09
-18.32,-380.22,5.63,2.42,7.00229e-5,0.0163726,-26.37,6,-8.94,-27.81,-389.71,5.05,2.42,1.87612e-4,0.0163726,-35.28,9,-8.94,-12.03,-21.01,2.16,2.16,0.0254677,0.0254677,-16.35,4,-4.92,0.6551085,0.2384021,0.1920993,0.1191034,0.09
-23.41,-388.34,3.53,7.52,0.00248298,2.8215e-6,-34.46,12,-8.15,-30.74,-395.67,3.93,7.52,0.0012583,2.8215e-6,-42.19,16,-8.15,-6.21,-21.25,7.52,7.52,2.8215e-6,2.8215e-6,-21.25,1,-2.2,0.243899,0.1998927,0.1470569,0.06336888,0.21
-16.94,-381.47,6.67,7.12,1.19606e-5,5.56759e-6,-30.73,11,-7.38,-22.75,-387.28,8.57,7.12,4.73821e-7,5.56759e-6,-38.44,15,-7.38,-9.95,-24.19,6.97,6.97,7.18394e-6,7.18394e-6,-23.89,2,-1.07,0.03788914,0.2430677,0.1448464,0.08985868,0.08
-15.81,-381.88,6.91,8.66,7.95501e-6,4.06628e-7,-31.38,10,-5.57,-25.99,-392.06,6.99,8.66,6.9439e-6,4.06628e-7,-41.64,13,-5.57,-7.17,-24.49,0.14,0.14,0.788287,0.788287,-7.45,2,-3.57,0.03902208,0.1718986,0.05577351,0.3598352,0.33
-18.01,-379.17,5.37,3.75,1.08921e-4,0.00170852,-27.13,11,-4.65,-24.08,-385.24,6.65,3.75,1.23741e-5,0.00170852,-34.48,12,-4.65,-11.85,-19.35,2.29,2.29,0.0204199,0.0204199,-16.43,4,-3.89,0.1250476,0.1236663,0.2273269,0.2886709,0.24
-13.57,-377.53,11.37,6.55,4.06727e-9,1.46659e-5,-31.49,8,-3.11,-21.33,-385.29,11.64,6.55,2.5707e-9,1.46659e-5,-39.52,10,-3.11,-10.07,-23.17,0.1,0.1,0.843729,0.843729,-10.27,2,-7.47,0.03354387,0.00986248,0.009252842,0.1588465,0.01
-16.76,-383,4.21,8.83,7.81906e-4,3.04609e-7,-29.8,10,-4.2,-26.03,-392.27,4.36,8.83,6.05981e-4,3.04609e-7,-39.22,14,-5.3,-5.88,-23.54,0.69,0.69,0.309601,0.309601,-7.26,2,-4.42,0.4262322,0.3933981,0.1443879,0.2821698,0.07
-16.51,-336.88,5.12,3.27,1.66573e-4,0.00386229,-24.9,4,-5.46,-23.84,-344.21,5.79,3.27,5.33538e-5,0.00386229,-32.9,8,-5.46,0,0,999999,999999,0,0,0,0,0,0.9140388,0.1118085,0.02207435,0.05907892,0.07
-13.62,-333.3,1.95,3.16,0.0363883,0.00465609,-18.73,7,-4.38,-23.81,-343.49,3.09,5.56,0.00524419,7.88674e-5,-32.46,14,-4.58,-9.69,-20.81,3.37,3.37,0.00325873,0.00325873,-16.43,4,-1.57,0.7179224,0.4942838,0.2086186,0.3447933,0.01
-18.62,-338.25,7.42,5.51,3.34408e-6,8.5861e-5,-31.55,9,-5.68,-25.35,-344.98,8,5.51,1.24812e-6,8.5861e-5,-38.86,9,-5.68,0,0,999999,999999,0,0,0,0,0,0.7149473,0.06643466,0.05402559,0.1351752,0.03
-14.48,-339.1,4.06,10.5,0.0010089,1.78376e-8,-29.04,7,-3.05,-24.53,-349.15,4.62,10.5,3.89572e-4,1.78376e-8,-39.65,9,-3.05,-13.45,-34.45,10.5,10.5,1.78376e-8,1.78376e-8,-34.45,4,-5.33,0.3470897,0.4308069,0.1979291,0.1109307,0.03
-16.51,-336.11,3.89,5.48,0.0013468,9.03515e-5,-25.88,12,-7.7,-27.79,-347.39,4.64,5.48,3.76555e-4,9.03515e-5,-37.91,16,-7.7,-7.71,-18.67,4.32,4.32,6.48602e-4,6.48602e-4,-16.35,4,-0.76,0.3686423,0.3109759,0.7817117,0.6045354,0.46
-18.11,-335.49,5.12,3.26,1.66573e-4,0.00392848,-26.49,11,-6.4,-25.02,-342.4,5.97,3.26,3.92944e-5,0.00392848,-34.25,15,-6.4,-10.39,-16.91,2.98,2.98,0.00632201,0.00632201,-16.35,4,-3.22,0.06817314,0.1479222,0.2913992,0.7680756,0.19
-24.63,-341.6,4.14,2.85,8.80668e-4,0.00788481,-31.62,12,-7.23,-28.87,-345.84,4.23,2.85,7.5578e-4,0.00788481,-35.95,16,-7.23,-11.87,-17.57,1.72,1.72,0.0537892,0.0537892,-15.31,4,-5.54,0.2401849,0.0220921,0.1588874,0.3091715,0.06
-9.98,-332.65,5.18,8.55,1.50427e-4,4.902e-7,-23.71,3,-3.4,-21.82,-344.49,3.02,8.5,0.00590659,5.33669e-7,-33.34,4,-3.14,-7.2,-24.3,0.11,0.11,0.829514,0.829514,-7.42,2,-6.28,0.2798245,0.004233709,0.3708363,0.4375508,0.08
-16.88,-334.67,2.65,3.67,0.011076,0.0019573,-23.2,7,-4.73,-20.25,-338.04,3.7,3.67,0.00186002,0.0019573,-27.62,8,-4.73,-9.91,-17.25,3.24,3.24,0.00406428,0.00406428,-16.39,4,-3.09,0.6252395,0.7477696,0.3660337,0.09905933,0.08
-13.32,-337.5,7.68,10.06,2.14984e-6,3.7674e-8,-31.06,7,-5.43,-23.41,-347.59,8.7,10.06,3.79908e-7,3.7674e-8,-42.17,10,-5.43,-13.11,-33.23,1.66,1.66,0.0595625,0.0595625,-16.43,4,-5.02,0.9151312,0.05978863,0.07263753,0.0935634,0.03
-14.1,-339.61,5.92,11.39,4.27789e-5,3.93137e-9,-31.41,4,-6.59,-24.27,-349.78,6.4,11.39,1.89236e-5,3.93137e-9,-42.06,7,-6.59,0,0,999999,999999,0,0,0,0,0,0.1041302,0.1398534,0.1857779,0.06416085,0.09
