id2,E_target_3_1,ED1_target_3_1,ED2_target_3_1,Pu1_target_3_1,Pu2_target_3_1,E_hybrid_target_3_1,P_E_target_3_1,E_target_3_2,ED1_target_3_2,ED2_target_3_2,Pu1_target_3_2,Pu2_target_3_2,E_hybrid_target_3_2,P_E_target_3_2,E_target_3_3,ED1_target_3_3,ED2_target_3_3,Pu1_target_3_3,Pu2_target_3_3,E_hybrid_target_3_3,P_E_target_3_3,E_target_1_1,ED1_target_1_1,ED2_target_1_1,Pu1_target_1_1,Pu2_target_1_1,E_hybrid_target_1_1,P_E_target_1_1,E_target_1_2,ED1_target_1_2,ED2_target_1_2,Pu1_target_1_2,Pu2_target_1_2,E_hybrid_target_1_2,P_E_target_1_2,E_target_1_3,ED1_target_1_3,ED2_target_1_3,Pu1_target_1_3,Pu2_target_1_3,E_hybrid_target_1_3,P_E_target_1_3,E_target_2_1,ED1_target_2_1,ED2_target_2_1,Pu1_target_2_1,Pu2_target_2_1,E_hybrid_target_2_1,P_E_target_2_1,E_target_2_2,ED1_target_2_2,ED2_target_2_2,Pu1_target_2_2,Pu2_target_2_2,E_hybrid_target_2_2,P_E_target_2_2,E_target_2_3,ED1_target_2_3,ED2_target_2_3,Pu1_target_2_3,Pu2_target_2_3,E_hybrid_target_2_3,P_E_target_2_3
GC-278-279,-15.14,10.6,6.92,3.39344e-08,1.32977e-05,-32.66,0.964287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-9-10,,,,,,,,-9.37,4.75,5.56,0.000449657,0.000120812,-19.68,157.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-11-12,,,,,,,,-9.31,3.68,5.0,0.0025519,0.000299721,-17.99,52.7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-13-14,,,,,,,,-10.32,3.78,3.53,0.00216969,0.00325508,-17.63,0.965125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-16-17,,,,,,,,-11.76,4.28,0.36,0.000963984,0.557601,-16.4,9.77813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-26-27,,,,,,,,-25.64,5.35,4.8,0.000169859,0.000414618,-35.79,0.538982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-30-31,,,,,,,,-24.52,5.7,5.55,9.62626e-05,0.000122788,-35.77,0.964992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-39-40,,,,,,,,-20.92,3.95,3.97,0.00164667,0.00159409,-28.84,0.733617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-44-45,,,,,,,,-20.9,3.18,2.79,0.0057437,0.0108145,-26.87,0.402754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-66-67,,,,,,,,-25.48,7.35,4.99,6.61872e-06,0.000304624,-37.82,0.778177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-110-111,,,,,,,,-20.11,5.07,4.63,0.000267542,0.000546311,-29.81,0.580792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-164-165,,,,,,,,-17.84,9.75,3.65,1.34772e-07,0.00267919,-31.24,45.8911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-197-198,,,,,,,,-26.75,3.71,0.67,0.00243066,0.337194,-31.13,0.66575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-270-271,,,,,,,,-26.07,11.57,5.32,7.03272e-09,0.000178331,-42.96,0.733902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-102-103,,,,,,,,-20.48,4.43,1.18,0.000755738,0.147403,-26.09,3.78985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-117-118,,,,,,,,-22.11,7.19,3.95,8.58063e-06,0.00164667,-33.25,0.365365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-132-133,,,,,,,,-25.77,8.17,3.3,1.74967e-06,0.00472752,-37.24,0.657426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-141-142,,,,,,,,-16.95,8.17,3.79,1.74967e-06,0.00213477,-28.91,18.8956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-147-148,,,,,,,,-22.62,6.8,3.94,1.61561e-05,0.00167361,-33.36,0.381562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-170-171,,,,,,,,-18.96,8.49,2.84,1.04104e-06,0.00997184,-30.29,0.703992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-174-175,,,,,,,,-19.18,7.99,6.0,2.34312e-06,5.91644e-05,-33.17,0.620407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-207-208,,,,,,,,-28.35,8.28,4.65,1.46367e-06,0.000528868,-41.28,20.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-211-212,,,,,,,,-24.9,7.33,6.49,6.83703e-06,2.67165e-05,-38.72,0.37266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-213-214,,,,,,,,-22.33,6.75,13.11,1.75214e-05,5.78033e-10,-42.19,0.722421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-215-216,,,,,,,,-26.25,7.01,9.7,1.1491e-05,1.46161e-07,-42.96,0.938538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-272-273,,,,,,,,-26.26,11.68,4.96,5.88317e-09,0.000319818,-42.9,0.674047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-274-275,,,,,,,,-25.2,12.02,5.84,3.38866e-09,7.67018e-05,-43.06,0.627068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-276-277,,,,,,,,-23.58,12.75,8.4,1.03664e-09,1.20472e-06,-44.73,0.832187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-278-279,,,,,,,,-25.76,11.97,6.92,3.67503e-09,1.32977e-05,-44.65,0.569291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-9-10,,,,,,,,,,,,,,,-5.64,5.58,5.58,0.000116954,0.000116954,-16.8,41.0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-11-12,,,,,,,,,,,,,,,-5.76,5.12,5.12,0.000246694,0.000246694,-16.0,0.870879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-13-14,,,,,,,,,,,,,,,-7.52,3.64,3.64,0.00272302,0.00272302,-14.8,0.785062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-16-17,,,,,,,,,,,,,,,-12.78,0.35,0.35,0.566722,0.566722,-13.48,0.768835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-26-27,,,,,,,,,,,,,,,-13.82,2.89,2.89,0.0091948,0.0091948,-19.6,73.6596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-30-31,,,,,,,,,,,,,,,-5.08,1.56,1.56,0.0795675,0.0795675,-8.2,0.664722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-39-40,,,,,,,,,,,,,,,-8.06,3.47,3.47,0.00358791,0.00358791,-15.0,0.569733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-44-45,,,,,,,,,,,,,,,-9.64,1.77,1.77,0.0565924,0.0565924,-13.18,0.649635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-66-67,,,,,,,,,,,,,,,-8.46,1.48,1.48,0.0905958,0.0905958,-11.42,0.457446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-110-111,,,,,,,,,,,,,,,-7.8,2.84,2.84,0.00997184,0.00997184,-13.48,0.525938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-164-165,,,,,,,,,,,,,,,-8.7,2.35,2.35,0.0220829,0.0220829,-13.4,0.321406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-197-198,,,,,,,,,,,,,,,-12.28,0.59,0.59,0.383931,0.383931,-13.46,0.492326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-270-271,,,,,,,,,,,,,,,-15.3,5.2,5.2,0.000216664,0.000216664,-25.7,3136.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-102-103,,,,,,,,,,,,,,,-11.68,0.81,0.81,0.268676,0.268676,-13.3,0.511514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-117-118,,,,,,,,,,,,,,,-7.62,2.72,2.72,0.0121153,0.0121153,-13.06,0.685382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-132-133,,,,,,,,,,,,,,,-7.18,3.15,3.15,0.0060302,0.0060302,-13.48,0.747794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-141-142,,,,,,,,,,,,,,,-9.66,1.82,1.82,0.0521825,0.0521825,-13.3,0.748514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-147-148,,,,,,,,,,,,,,,-10.3,3.25,3.25,0.00512703,0.00512703,-16.8,9.29885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-170-171,,,,,,,,,,,,,,,-9.88,1.39,1.39,0.10484,0.10484,-12.66,0.293749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-174-175,,,,,,,,,,,,,,,-3.92,0.59,0.59,0.383931,0.383931,-5.1,0.523576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-207-208,,,,,,,,,,,,,,,-10.12,4.54,4.54,0.000632207,0.000632207,-19.2,7.48023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-211-212,,,,,,,,,,,,,,,-7.22,2.31,2.31,0.0235637,0.0235637,-11.84,0.558249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-272-273,,,,,,,,,,,,,,,-9.18,0.98,0.98,0.203909,0.203909,-11.14,0.698259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-274-275,,,,,,,,,,,,,,,-10.82,0.99,0.99,0.200627,0.200627,-12.8,0.802707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-276-277,,,,,,,,,,,,,,,-1.18,8.37,8.37,1.26481e-06,1.26481e-06,-17.92,1.36608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-57-58,,,,,,,,,,,,,,,,,,,,,,-7.39,6.03,2.1,5.63535e-05,0.03313,-15.52,38.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-78-79,,,,,,,,,,,,,,,,,,,,,,-11.59,8.42,1.29,1.16625e-06,0.123309,-21.3,0.91976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-106-107,,,,,,,,,,,,,,,,,,,,,,-9.9,5.53,4.94,0.000126838,0.000330367,-20.37,8.92631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-137-138,,,,,,,,,,,,,,,,,,,,,,-12.1,4.44,3.13,0.000743575,0.00622909,-19.67,0.324658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-150-151,,,,,,,,,,,,,,,,,,,,,,-13.91,4.56,4.98,0.000612021,0.000309607,-23.45,0.801871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-159-160,,,,,,,,,,,,,,,,,,,,,,-12.63,6.6,4.96,2.23494e-05,0.000319818,-24.19,21.3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-192-193,,,,,,,,,,,,,,,,,,,,,,-11.95,6.13,5.36,4.79132e-05,0.000167125,-23.44,0.511679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-194-195,,,,,,,,,,,,,,,,,,,,,,-11.02,6.21,5.77,4.20807e-05,8.59274e-05,-23.0,0.870198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-210-211,,,,,,,,,,,,,,,,,,,,,,-6.97,2.67,0.87,0.0131391,0.243752,-10.51,2.04632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-212-213,,,,,,,,,,,,,,,,,,,,,,-8.93,9.46,2.88,2.15749e-07,0.00934521,-21.27,0.642663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-29-30,,,,,,,,,,,,,,,,,,,,,,-16.33,2.86,6.24,0.00965344,4.00814e-05,-25.43,0.680079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-33-34,,,,,,,,,,,,,,,,,,,,,,-14.13,4.4,6.07,0.000793435,5.28122e-05,-24.6,0.651208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-47-48,,,,,,,,,,,,,,,,,,,,,,-3.94,8.29,0.09,1.44011e-06,0.864134,-12.32,0.135615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-98-99,,,,,,,,,,,,,,,,,,,,,,-7.01,6.14,3.87,4.71421e-05,0.0018749,-17.02,0.686923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-120-121,,,,,,,,,,,,,,,,,,,,,,-12.93,5.59,4.52,0.000115072,0.000653059,-23.04,0.888861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-126-127,,,,,,,,,,,,,,,,,,,,,,-14.59,5.51,1.55,0.000131021,0.080869,-21.65,0.371653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-177-178,,,,,,,,,,,,,,,,,,,,,,-17.61,7.21,1.8,8.30665e-06,0.0539037,-26.62,0.846794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-240-241,,,,,,,,,,,,,,,,,,,,,,-13.22,4.71,1.19,0.000479808,0.14503,-19.12,0.722837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-252-253,,,,,,,,,,,,,,,,,,,,,,-9.29,7.98,2.52,2.38145e-06,0.0167597,-19.79,0.464645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-267-268,,,,,,,,,,,,,,,,,,,,,,-7.49,5.73,1.57,9.16891e-05,0.0782869,-14.79,0.598132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-57-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.81,21.92,2.69,3.58037e-16,0.0127196,-38.42,2555.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-78-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.37,10.78,1.29,2.53397e-08,0.123309,-34.44,0.912672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-106-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.8,6.77,4.94,1.69619e-05,0.000330367,-30.51,0.968726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-137-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.52,8.48,3.23,1.05806e-06,0.00529614,-35.23,13.3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-150-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.34,5.0,4.98,0.000299721,0.000309607,-34.32,0.94338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-159-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.18,7.07,4.97,1.0425e-05,0.000314671,-37.22,0.810122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-192-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.93,8.55,5.36,9.44466e-07,0.000167125,-39.84,0.45719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-194-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.32,7.69,5.77,3.81233e-06,8.59274e-05,-38.78,0.903567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-210-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.16,11.38,4.45,9.57212e-09,0.000731608,-31.99,0.389434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-212-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.22,10.42,2.88,4.54442e-08,0.00934521,-30.52,0.383731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-29-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.19,3.19,6.24,0.00565126,4.00814e-05,-32.62,0.940977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-33-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.92,4.41,6.07,0.000780665,5.28122e-05,-38.4,0.505761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-47-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.61,9.71,4.05,1.43809e-07,0.00140004,-28.37,0.20035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-98-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.48,7.29,3.87,7.29548e-06,0.0018749,-29.64,0.747066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-120-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.53,6.76,4.52,1.72394e-05,0.000653059,-36.81,0.733245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-126-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.71,6.99,1.55,1.187e-05,0.080869,-33.25,0.933704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-153-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,1.86,0.22,0.0489034,0.699803,-9.48,0.743142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-177-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.67,8.36,1.8,1.2855e-06,0.0539037,-38.83,0.510654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-240-241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.87,4.8,1.19,0.000414618,0.14503,-27.86,0.658124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-252-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.73,8.7,2.52,7.40437e-07,0.0167597,-30.95,1.5712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-267-268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.13,10.13,4.27,7.27493e-08,0.000979753,-33.53,0.422876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-57-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,2.28,2.28,0.0247391,0.0247391,-12.86,0.341951,,,,,,,,,,,,,,,,,,,,,
AC-78-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.02,1.22,1.22,0.13814,0.13814,-13.46,0.455332,,,,,,,,,,,,,,,,,,,,,
AC-137-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.76,2.02,2.02,0.0377219,0.0377219,-11.8,0.542024,,,,,,,,,,,,,,,,,,,,,
AC-150-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.92,4.91,4.91,0.000346846,0.000346846,-20.74,5.86794,,,,,,,,,,,,,,,,,,,,,
AC-159-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.02,3.02,3.02,0.00744624,0.00744624,-12.06,0.513239,,,,,,,,,,,,,,,,,,,,,
AC-192-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.98,0.62,0.62,0.36569,0.36569,-8.22,0.52842,,,,,,,,,,,,,,,,,,,,,
